external_id,date,videos,view_count
UC0PXqiud6dbwOAk8RvslgpQ,2008-11-1,2,45000
UC0PXqiud6dbwOAk8RvslgpQ,2008-12-1,3,640000
UC0PXqiud6dbwOAk8RvslgpQ,2009-01-1,4,240000
UC0PXqiud6dbwOAk8RvslgpQ,2009-02-1,1,5000
UC0PXqiud6dbwOAk8RvslgpQ,2009-04-1,1,7000
UC0PXqiud6dbwOAk8RvslgpQ,2009-06-1,1,4000
UC0PXqiud6dbwOAk8RvslgpQ,2009-07-1,7,520000
UC0PXqiud6dbwOAk8RvslgpQ,2009-09-1,7,120000
UC0PXqiud6dbwOAk8RvslgpQ,2009-10-1,5,620000
UC0PXqiud6dbwOAk8RvslgpQ,2009-11-1,2,1200000
UC0PXqiud6dbwOAk8RvslgpQ,2009-12-1,2,8000
UC0PXqiud6dbwOAk8RvslgpQ,2010-01-1,6,980000
UC0PXqiud6dbwOAk8RvslgpQ,2010-02-1,1,2000
UC0PXqiud6dbwOAk8RvslgpQ,2010-03-1,4,65000
UC0PXqiud6dbwOAk8RvslgpQ,2010-04-1,3,70000
UC0PXqiud6dbwOAk8RvslgpQ,2010-05-1,4,79000
UC0PXqiud6dbwOAk8RvslgpQ,2010-06-1,1,43000
UC0PXqiud6dbwOAk8RvslgpQ,2010-07-1,8,2100000
UC0PXqiud6dbwOAk8RvslgpQ,2010-08-1,4,620000
UC0PXqiud6dbwOAk8RvslgpQ,2010-09-1,11,4300000
UC0PXqiud6dbwOAk8RvslgpQ,2010-10-1,3,32000
UC0PXqiud6dbwOAk8RvslgpQ,2010-11-1,3,150000
UC0PXqiud6dbwOAk8RvslgpQ,2010-12-1,2,34000
UC0PXqiud6dbwOAk8RvslgpQ,2011-01-1,3,63000
UC0PXqiud6dbwOAk8RvslgpQ,2011-02-1,2,60000
UC0PXqiud6dbwOAk8RvslgpQ,2011-03-1,5,1100000
UC0PXqiud6dbwOAk8RvslgpQ,2011-04-1,7,660000
UC0PXqiud6dbwOAk8RvslgpQ,2011-05-1,5,1400000
UC0PXqiud6dbwOAk8RvslgpQ,2011-06-1,4,36000
UC0PXqiud6dbwOAk8RvslgpQ,2011-07-1,1,9000
UC0PXqiud6dbwOAk8RvslgpQ,2011-08-1,9,830000
UC0PXqiud6dbwOAk8RvslgpQ,2011-09-1,8,3100000
UC0PXqiud6dbwOAk8RvslgpQ,2011-10-1,4,2900000
UC0PXqiud6dbwOAk8RvslgpQ,2011-11-1,6,450000
UC0PXqiud6dbwOAk8RvslgpQ,2011-12-1,2,170000
UC0PXqiud6dbwOAk8RvslgpQ,2012-01-1,2,72000
UC0PXqiud6dbwOAk8RvslgpQ,2012-03-1,8,9600000
UC0PXqiud6dbwOAk8RvslgpQ,2012-05-1,9,1400000
UC0PXqiud6dbwOAk8RvslgpQ,2012-06-1,8,3600000
UC0PXqiud6dbwOAk8RvslgpQ,2012-07-1,7,3100000
UC0PXqiud6dbwOAk8RvslgpQ,2012-08-1,14,4500000
UC0PXqiud6dbwOAk8RvslgpQ,2012-09-1,11,2900000
UC0PXqiud6dbwOAk8RvslgpQ,2012-10-1,21,8700000
UC0PXqiud6dbwOAk8RvslgpQ,2012-11-1,12,2900000
UC0PXqiud6dbwOAk8RvslgpQ,2012-12-1,12,3100000
UC0PXqiud6dbwOAk8RvslgpQ,2013-01-1,3,3100000
UC0PXqiud6dbwOAk8RvslgpQ,2013-02-1,4,4300000
UC0PXqiud6dbwOAk8RvslgpQ,2013-03-1,17,5900000
UC0PXqiud6dbwOAk8RvslgpQ,2013-04-1,14,4.10E+07
UC0PXqiud6dbwOAk8RvslgpQ,2013-05-1,12,2.00E+07
UC0PXqiud6dbwOAk8RvslgpQ,2013-06-1,11,2800000
UC0PXqiud6dbwOAk8RvslgpQ,2013-07-1,10,5.00E+06
UC0PXqiud6dbwOAk8RvslgpQ,2013-08-1,13,4.60E+07
UC0PXqiud6dbwOAk8RvslgpQ,2013-09-1,24,1.20E+07
UC0PXqiud6dbwOAk8RvslgpQ,2013-10-1,10,9500000
UC0PXqiud6dbwOAk8RvslgpQ,2013-11-1,8,6600000
UC0PXqiud6dbwOAk8RvslgpQ,2013-12-1,8,4200000
UC0PXqiud6dbwOAk8RvslgpQ,2014-01-1,5,3.00E+06
UC0PXqiud6dbwOAk8RvslgpQ,2014-02-1,4,3700000
UC0PXqiud6dbwOAk8RvslgpQ,2014-03-1,9,4700000
UC0PXqiud6dbwOAk8RvslgpQ,2014-04-1,7,3800000
UC0PXqiud6dbwOAk8RvslgpQ,2014-05-1,9,9800000
UC0PXqiud6dbwOAk8RvslgpQ,2014-06-1,8,4100000
UC0PXqiud6dbwOAk8RvslgpQ,2014-07-1,9,5500000
UC0PXqiud6dbwOAk8RvslgpQ,2014-08-1,9,3200000
UC0PXqiud6dbwOAk8RvslgpQ,2014-09-1,9,4400000
UC0PXqiud6dbwOAk8RvslgpQ,2014-10-1,11,5500000
UC0PXqiud6dbwOAk8RvslgpQ,2014-11-1,14,3600000
UC0PXqiud6dbwOAk8RvslgpQ,2014-12-1,20,4300000
UC0PXqiud6dbwOAk8RvslgpQ,2015-01-1,18,3200000
UC0PXqiud6dbwOAk8RvslgpQ,2015-02-1,20,3400000
UC0PXqiud6dbwOAk8RvslgpQ,2015-03-1,17,2400000
UC0PXqiud6dbwOAk8RvslgpQ,2015-04-1,17,2500000
UCweOkPb1wVVH0Q0Tlj4a5Pw,2011-02-1,6,2.00E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2011-03-1,130,3.50E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2011-04-1,67,1.70E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2011-05-1,24,1.30E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2011-06-1,38,4.00E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2011-07-1,94,1.00E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2011-08-1,65,3.70E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2011-09-1,22,9200000
UCweOkPb1wVVH0Q0Tlj4a5Pw,2011-10-1,24,2.40E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2011-11-1,28,5.50E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2011-12-1,26,2.60E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2012-01-1,31,4.80E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2012-02-1,29,4.10E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2012-03-1,29,4.80E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2012-04-1,28,1.00E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2012-05-1,42,3.60E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2012-06-1,26,2.80E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2012-07-1,53,5.10E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2012-08-1,31,2.60E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2012-09-1,47,7.30E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2012-10-1,64,8.40E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2012-11-1,64,2.70E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2012-12-1,69,1.40E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2013-01-1,68,3.50E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2013-02-1,46,2.10E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2013-03-1,56,4.70E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2013-04-1,65,3.00E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2013-05-1,57,2.90E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2013-06-1,62,4.30E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2013-07-1,60,2.70E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2013-08-1,85,3.20E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2013-09-1,60,3.20E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2013-10-1,91,3.70E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2013-11-1,106,2.90E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2013-12-1,101,2.30E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2014-01-1,82,6.60E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2014-02-1,92,4.60E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2014-03-1,83,4.00E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2014-04-1,53,5.30E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2014-05-1,111,3.30E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2014-06-1,99,3.40E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2014-07-1,199,7.10E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2014-08-1,143,6.30E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2014-09-1,123,2.40E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2014-10-1,121,4.60E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2014-11-1,177,4.80E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2014-12-1,169,1.50E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2015-01-1,176,2.10E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2015-02-1,130,1.60E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2015-03-1,192,3.90E+07
UCweOkPb1wVVH0Q0Tlj4a5Pw,2015-04-1,179,3.00E+07
UC2-BeLxzUBSs0uSrmzWhJuQ,2008-02-1,1,37000
UC2-BeLxzUBSs0uSrmzWhJuQ,2008-04-1,4,5.00E+05
UC2-BeLxzUBSs0uSrmzWhJuQ,2008-06-1,8,430000
UC2-BeLxzUBSs0uSrmzWhJuQ,2008-07-1,3,6900000
UC2-BeLxzUBSs0uSrmzWhJuQ,2008-08-1,1,0
UC2-BeLxzUBSs0uSrmzWhJuQ,2008-11-1,1,18000
UC2-BeLxzUBSs0uSrmzWhJuQ,2009-03-1,9,1900000
UC2-BeLxzUBSs0uSrmzWhJuQ,2009-06-1,5,2300000
UC2-BeLxzUBSs0uSrmzWhJuQ,2009-07-1,1,99000
UC2-BeLxzUBSs0uSrmzWhJuQ,2009-08-1,1,1100000
UC2-BeLxzUBSs0uSrmzWhJuQ,2009-09-1,1,450000
UC2-BeLxzUBSs0uSrmzWhJuQ,2009-10-1,1,2100000
UC2-BeLxzUBSs0uSrmzWhJuQ,2009-11-1,2,6500000
UC2-BeLxzUBSs0uSrmzWhJuQ,2009-12-1,1,670000
UC2-BeLxzUBSs0uSrmzWhJuQ,2010-01-1,4,2500000
UC2-BeLxzUBSs0uSrmzWhJuQ,2010-02-1,1,86000
UC2-BeLxzUBSs0uSrmzWhJuQ,2010-03-1,3,550000
UC2-BeLxzUBSs0uSrmzWhJuQ,2010-05-1,2,1.00E+07
UC2-BeLxzUBSs0uSrmzWhJuQ,2010-07-1,3,750000
UC2-BeLxzUBSs0uSrmzWhJuQ,2010-11-1,3,960000
UC2-BeLxzUBSs0uSrmzWhJuQ,2011-01-1,5,4800000
UC2-BeLxzUBSs0uSrmzWhJuQ,2011-02-1,1,240000
UC2-BeLxzUBSs0uSrmzWhJuQ,2011-03-1,2,520000
UC2-BeLxzUBSs0uSrmzWhJuQ,2011-06-1,5,430000
