year_month,external_id,subscriber_count
2013-01-1,UCcn4UOBvB0W2HjCcLFLuu2w,6400
2013-01-1,UCAXvfUwC7SIoC6f2ATpNfMg,NA
2013-01-1,UCFDuHygwf1RyH8j7cBsFObA,5000
2013-01-1,UCB9_VH_CNbbH4GfKu8qh63w,221600
2013-01-1,UCit9X9KT2rmW7IIzQs4cdIw,6600
2013-01-1,UC5MzAFj1U6Djzw6nUnsrLjg,300
2013-01-1,UCeUYwh-WiIoG47ECQvQxKsA,93800
2013-01-1,UCxWkNmkeAL52VTJyBlIJRXw,6400
2013-01-1,UC6xD-jKli-_qIYXDTsNv4dw,36600
2013-01-1,UCyJrhZm9KXrzRub3-wD2zWg,3900
2013-01-1,UCubOJL-OS1UnYpsZVKboAxw,2000
2013-01-1,UCFL1sCAksD6_7JIZwwHcwjQ,400
2013-01-1,UCDF_NIAEkcAUvzxe1DUzaQA,13700
2013-01-1,UCttspZesZIDEwwpVIgoZtWQ,24900
2013-01-1,UCW7ck0jRwnXqmShjGdsaoPA,47100
