event_id,start_dt,event_desc,league_id,status_id,description,mma_event_id,event_id_1,match_number,title,fighter_1_id,fighter_2_id,fighter_1_weight,fighter_2_weight,winner_id,result,decision_round,decision_seconds,modified_from,modified_by,modified_dt,decision_method,weight_class,sport_id,scheduled_rounds,round_length,fighter1_name,fighter2_name
400255629,15-May-98,UFC 17: Redemption,3321,10504,Final,1662,1662,3,,2499538,2335515,235,235,2499538,Won,1,758,WTS-DG01,landrigm,9-Feb-10,KO,Heavyweight,MMA,1,15:00,Pete Williams,Mark Coleman
400255629,15-May-98,UFC 17: Redemption,3321,10504,Final,1662,1662,4,,2335464,2499965,205,205,2335464,Won,1,720,WTS-DG01,landrigm,14-Feb-10,Unanimous Decision,Light Heavyweight,MMA,1,12:00,Chuck Liddell,Noe Hernandez
400255629,15-May-98,UFC 17: Redemption,3321,10504,Final,1662,1662,5,UFC Light Heavyweight Championship,2431343,2335477,185,185,2431343,Won,1,988,WTS-SA04X,Mendozab,22-Apr-11,Submission (Kneebar),Middleweight,MMA,1,20:00,Frank Shamrock,Jeremy Horn
400255629,15-May-98,UFC 17: Redemption,3321,10504,Final,1662,1662,6,,2354050,2558144,265,250,2354050,Won,1,43,WTS-SA02X,davisan,24-Apr-11,TKO,Heavyweight,MMA,3,5:00,David Abbott,Hugo Duarte
400255629,15-May-98,UFC 17: Redemption,3321,10504,Final,1662,1662,7,,2354532,2556012,205,205,2354532,Won,1,641,WTS-SA02X,davisan,24-Apr-11,Submission (Kimura) ,Light Heavyweight,MMA,3,5:00,Mike Van Arsdale,Joe Pardo
400255629,15-May-98,UFC 17: Redemption,3321,10504,Final,1662,1662,8,,2501709,2479914,170,170,2479914,Won,1,52,WTS-SA02X,davisan,24-Apr-11,Submission (Triangle Choke),Welterweight,MMA,3,5:00,Bob Gilstrap,Carlos Newton
400255629,15-May-98,UFC 17: Redemption,3321,10504,Final,1662,1662,9,,2558118,2558145,265,240,2558118,Won,1,195,WTS-SA02X,davisan,24-Apr-11,KO,Heavyweight,MMA,3,5:00,Andre Roberts,Harry Moskowitz
400255629,15-May-98,UFC 17: Redemption,3321,10504,Final,1662,1662,10,,2479914,2335497,185,185,2335497,Won,1,900,WTS-SA03X,Mendozab,3-Jun-11,Split Decision,Middleweight,MMA,1,15:00,Carlos Newton,Dan Henderson
400255629,15-May-98,UFC 17: Redemption,3321,10504,Final,1662,1662,11,,2354084,2335497,185,185,2335497,Won,1,900,WTS-SA03X,Mendozab,3-Jun-11,Unanimous Decision,Middleweight,MMA,1,15:00,Allan Goes,Dan Henderson
400255609,16-Oct-98,UFC 17.5: Ultimate Brazil,3321,10504,Final,1801,1801,1,,2335467,2354057,185,185,2354057,Won,1,44,WTS-DG01E,cilibers,15-Oct-09,TKO,Middleweight,MMA,3,5:00,Wanderlei Silva,Vitor Belfort
