geoid,median_income,total_households,nonwhite_share,total_pop,black_pop,black_share,pct_speak_eng_less_well,median_age,share_24_44
3.60E+10,47368,1528,20.671,3696,76,2.05628,37.1,37.3,32.7
3.61E+10,44821,681,16.054,2149,147,6.84039,28.7,32.3,30.1
3.60E+10,96350,1855,26.6561,3789,268,7.07311,11.1,31.8,64.3
3.61E+10,76676,685,81.236,2686,359,13.3656,22,40.3,27.4
3.60E+10,49472,1308,6.47443,3676,19,0.516866,25.9,36.3,23.9
3.61E+10,40825,1281,27.5306,4090,118,2.88509,37.3,30.9,27
3.60E+10,71771,995,11.2208,1925,11,0.571429,10.9,35.2,62.4
3.61E+10,78500,544,82.4416,1925,436,22.6494,32.2,43.6,26.6
3.60E+10,54444,888,14.0474,2278,0,0,31.7,45,19.5
3.61E+10,49500,436,28.9047,1543,36,2.33312,29.6,30.4,33.6
3.61E+10,57292,486,73.0939,1587,426,26.8431,22.3,42,28.1
3.60E+10,43583,1381,6.84398,3083,5,0.16218,39.8,48.9,22.3
3.61E+10,112000,52,47.9452,146,50,34.2466,20.4,29.8,29.4
3.60E+10,71750,1503,8.37912,2912,59,2.0261,17.3,34.6,49.7
3.61E+10,47500,462,70.7776,1646,227,13.791,32.3,36.9,27.3
3.60E+10,67344,580,9.15033,1683,0,0,15.4,43.6,17.6
3.60E+10,47813,2045,31.9963,4288,192,4.47761,27.4,34.3,50.2
3.61E+10,50880,557,59.989,1817,267,14.6946,31.2,40.2,29.4
3.60E+10,67344,989,10.3146,2511,49,1.95141,16.8,42.4,21.3
3.61E+10,38235,432,26.5752,1603,14,0.873362,26,28.9,33.5
3.60E+10,69250,1586,14.7331,3129,85,2.71652,12.5,33.9,53.1
3.61E+10,89141,443,79.13,1816,277,15.2533,27.3,37.9,35
3.60E+10,55909,1082,37.1036,2838,58,2.04369,25.3,39.2,26.5
3.61E+10,66743,1453,8.96383,4507,76,1.68627,13.7,34.5,25.9
3.61E+10,65294,1462,85.4631,5118,3972,77.6084,18.5,40.4,26.8
3.60E+10,80026,545,22.9344,1295,0,0,16,47.2,27.7
3.60E+10,90387,669,6.14562,1497,0,0,19.1,32.3,50.7
3.60E+10,60958,1395,31.3684,3325,137,4.1203,23.9,51.7,24.5
3.60E+10,72592,1953,3.50748,4077,16,0.392445,18.9,32.7,52
3.60E+10,13111,2138,61.4735,4615,2459,53.2828,15,34.2,19.1
3.60E+10,59519,1090,10.3268,2295,92,4.00871,19.3,32.7,47.1
3.60E+10,97765,996,41.3793,2842,6,0.211119,33.7,43,27.2
3.60E+10,56109,1815,28.8376,3811,9,0.236158,35.3,34.1,43.2
3.60E+10,60581,1060,40.1634,3304,53,1.60412,35.6,38.7,24.9
3.61E+10,52650,1382,15.6827,3845,77,2.0026,26.3,34.5,33.8
3.60E+10,55549,1118,37.641,3103,54,1.74025,41.5,39.2,23.1
3.61E+10,29688,563,8.17236,1346,19,1.41159,13.6,40.3,28
3.60E+10,56964,440,25.2137,936,0,0,30.2,33.2,41.9
3.61E+10,75313,1109,98.0769,3692,3443,93.2557,7.1,42.1,27.7
3.60E+10,36944,1248,46.1242,3638,21,0.57724,36.6,39.6,27.9
3.61E+10,53260,1027,8.82456,2867,63,2.19742,12.4,35.8,32.5
3.60E+10,35500,996,44.8479,2892,0,0,40,34.9,34.4
3.61E+10,76745,1427,94.2548,5361,4743,88.4723,16,37,31
3.61E+10,52788,1135,16.1331,3186,156,4.89642,26.4,35.3,35.7
3.60E+10,55441,1456,21.2208,3506,74,2.11067,28.4,39.8,33.4
3.61E+10,52660,1445,9.79115,4453,93,2.08848,24.3,37,28.2
3.60E+10,53148,826,59.5956,2621,157,5.99008,42.7,39.1,26.6
3.61E+10,43250,1301,12.8383,2882,90,3.12283,27.1,35.7,36.4
3.60E+10,56875,1367,24.9372,3581,260,7.26054,53.7,42.8,26.2
3.61E+10,40652,1560,15.5177,4105,76,1.8514,30.1,31.5,36.7
3.60E+10,88672,785,17.1025,1912,2,0.104603,22.7,37.7,39.4
3.61E+10,69609,409,97.729,1321,1174,88.8721,6.8,42.4,27.2
3.60E+10,51429,664,69.8395,1807,193,10.6807,45.8,34.7,31
3.61E+10,43891,1907,15.0372,5247,65,1.2388,28.4,32.6,33.4
3.60E+10,62986,1810,8.85659,3647,0,0,24.3,33,52.3
3.61E+10,59904,417,89.707,1263,1120,88.6778,10.1,45.1,26.8
3.60E+10,51214,1634,36.721,4172,89,2.13327,43.8,41.8,27
3.61E+10,47254,1460,17.918,3756,186,4.95208,28.3,39.6,28.7
3.60E+10,60846,770,10.8328,1717,4,0.232964,15.4,33.9,50.4
3.61E+10,110129,515,99.5755,1649,1518,92.0558,6.2,44.3,31.3
3.60E+10,54680,2947,36.1031,7642,126,1.64878,43.4,41.6,23.1
3.60E+10,82727,1926,19.5681,4584,40,0.8726,28.1,47.3,25.2
3.61E+10,57534,1593,19.2475,4359,226,5.18468,22.6,40.3,28.7
3.61E+10,79459,500,99.7792,1359,1356,99.7792,4.4,41.3,28.7
