Date/Time,Lat,Lon,Base
4/1/14 7:06,40.71471848,-74.03623232,B02512
4/1/14 7:07,40.77323636,-73.95037263,B02512
4/1/14 7:08,40.73347973,-74.0043217,B02512
4/1/14 7:08,40.77543686,-73.97816425,B02512
4/1/14 7:09,40.77524895,-73.9455116,B02512
4/1/14 7:09,40.72429981,-74.0021407,B02512
4/1/14 7:09,40.77864799,-73.95117247,B02512
4/1/14 7:11,40.78773801,-73.97877253,B02512
4/1/14 7:12,40.86744283,-73.88221334,B02512
4/1/14 7:14,40.76776549,-73.97035383,B02512
4/1/14 7:15,40.77488875,-73.9587213,B02512
4/1/14 7:15,40.7209052,-73.98129934,B02512
4/1/14 7:17,40.75603627,-73.97521072,B02512
4/1/14 7:17,40.79230493,-73.96755151,B02512
4/1/14 7:20,40.73902449,-73.99913259,B02512
